2025-06-04 00:49:54 | two_way:to→from | .DS_Store | 
2025-06-04 00:49:54 | two_way:to→from | WindowsPowerShell/Scripts/OutlookUtils/Backup-OutlookByYear.ps1 | 
2025-06-04 00:49:54 | two_way:to→from | WindowsPowerShell/Scripts/OutlookUtils/Get-OutlookContents.ps1 | 
2025-06-04 00:49:54 | two_way:to→from | WindowsPowerShell/Scripts/OutlookUtils/Launch-OutlookArchiving.ps1 | 
2025-06-04 00:49:54 | two_way:to→from | WindowsPowerShell/Scripts/OutlookUtils/Outlook.Interface.ps1 | 
2025-06-04 00:49:54 | two_way:to→from | WindowsPowerShell/Scripts/OutlookUtils/OutlookLogic.ps1 | 
2025-06-04 00:49:54 | two_way:to→from | WindowsPowerShell/Scripts/OutlookUtils/SaveOutlookAttachments.ps1 | 
2025-06-04 00:49:54 | two_way:to→from | WindowsPowerShell/Scripts/TerminalUtils/Register-GoDirCompleter.ps1 | 
2025-06-04 00:49:54 | two_way:to→from | WindowsPowerShell/Scripts/TerminalUtils/Set-Dir.ps1 | 
2025-06-04 00:49:54 | two_way:to→from | WindowsPowerShell/Scripts/TerminalUtils/SetDir-BaseDirsUtils.ps1 | 
2025-06-04 00:49:54 | two_way:to→from | WindowsPowerShell/Scripts/TerminalUtils/SetDir-KeywordDirsUtils.ps1 | 
2025-06-04 00:49:54 | two_way:to→from | WindowsPowerShell/Scripts/Tests/Launcher-PesterTests.ps1 | 
2025-06-04 00:49:54 | two_way:to→from | WindowsPowerShell/Scripts/Tests/Test-CompareSortedCollection.Tests.ps1 | 
2025-06-04 00:49:54 | two_way:to→from | WindowsPowerShell/Scripts/Tests/Test-CompareSpecObjects.Tests.ps1 | 
2025-06-04 00:49:54 | two_way:to→from | WindowsPowerShell/Scripts/Tests/Test-ExportEmailSafeScripts.Tests.ps1 | 
2025-06-04 00:49:54 | two_way:to→from | WindowsPowerShell/Scripts/Tests/Test-FormatUtils.Tests.ps1 | 
2025-06-04 00:49:54 | two_way:to→from | WindowsPowerShell/Scripts/Tests/Test-SelectFiles.ps1 | 
2025-06-04 00:49:54 | two_way:to→from | WindowsPowerShell/Scripts/test.pptx | 
2025-06-04 00:49:54 | two_way:to→from | WindowsPowerShell/Temp/Test-ExportEmailSafeScripts.ps1 | 
2025-06-04 00:49:54 | two_way:to→from | WindowsPowerShell/Temp/TestCopyDir.ps1 | 
2025-06-04 00:49:54 | two_way:to→from | WindowsPowerShell/root/level1/sub1/string Name() | 
2025-06-04 00:49:54 | summary | two_way_sync_summary | Total files synced: 53
2025-06-04 00:53:23 | summary | two_way_sync_summary | Total files synced: 0
